entity_id,relation,value
m/demolition_man,is,good
m/dumb_and_dumber,is,good
m/hot_tub_time_machine,is,good
m/spaceballs,is,good
m/terminator,is,good
m/demolition_man,is,best
m/dumb_and_dumber,is,best
m/hot_tub_time_machine,is,best
m/spaceballs,is,best
m/terminator,is,best
m/dumb_and_dumber,is,little
m/hot_tub_time_machine,is,little
m/terminator,is,little
m/demolition_man,is,new
m/hot_tub_time_machine,is,new
m/demolition_man,is,old
m/dumb_and_dumber,is,old
m/hot_tub_time_machine,is,old
m/spaceballs,is,old
m/demolition_man,is,great
m/hot_tub_time_machine,is,great
m/spaceballs,is,great
m/demolition_man,is,real
m/hot_tub_time_machine,is,real
m/spaceballs,is,real
m/terminator,is,real
m/demolition_man,is,better
m/hot_tub_time_machine,is,better
m/demolition_man,is,bad
m/hot_tub_time_machine,is,bad
m/spaceballs,is,bad
m/terminator,is,bad
m/demolition_man,is,young
m/dumb_and_dumber,is,young
m/hot_tub_time_machine,is,young
m/demolition_man,is,big
m/hot_tub_time_machine,is,big
m/spaceballs,is,big
m/terminator,is,big
m/demolition_man,is,high
m/dumb_and_dumber,is,high
m/hot_tub_time_machine,is,high
m/terminator,is,high
m/hot_tub_time_machine,is,entertaining
m/terminator,is,entertaining
m/demolition_man,is,funny
m/dumb_and_dumber,is,funny
m/hot_tub_time_machine,is,funny
m/spaceballs,is,funny
m/hot_tub_time_machine,features the theme,the story
m/terminator,features the theme,the story
m/demolition_man,is,long
m/dumb_and_dumber,is,long
m/hot_tub_time_machine,is,long
m/dumb_and_dumber,is,hard
m/hot_tub_time_machine,is,hard
m/terminator,is,hard
m/dumb_and_dumber,is,worth
m/hot_tub_time_machine,is,worth
m/dumb_and_dumber,is,true
m/demolition_man,features the location,Hollywood
m/hot_tub_time_machine,features the location,Hollywood
m/demolition_man,is,small
m/terminator,is,small
m/hot_tub_time_machine,is,interesting
m/hot_tub_time_machine,is,original
m/terminator,is,original
m/demolition_man,is,dead
m/dumb_and_dumber,is,dead
m/hot_tub_time_machine,is,dead
m/dumb_and_dumber,is,american
m/hot_tub_time_machine,is,american
m/terminator,is,american
m/hot_tub_time_machine,is,final
m/spaceballs,is,final
m/terminator,is,final
m/terminator,is,strong
m/terminator,is,second
m/hot_tub_time_machine,features the theme,time
m/spaceballs,features the theme,time
m/demolition_man,is,human
m/terminator,is,human
m/hot_tub_time_machine,features the theme,life
m/demolition_man,is,enjoyable
m/hot_tub_time_machine,is,enjoyable
m/dumb_and_dumber,features the miscellaneous theme,American
m/hot_tub_time_machine,features the miscellaneous theme,American
m/terminator,features the miscellaneous theme,American
m/dumb_and_dumber,is,fine
m/hot_tub_time_machine,is,cinematic
m/spaceballs,is,cinematic
m/terminator,is,cinematic
m/demolition_man,features the theme,the end
m/hot_tub_time_machine,features the theme,the end
m/hot_tub_time_machine,is,perfect
m/dumb_and_dumber,is,short
m/hot_tub_time_machine,is,short
m/terminator,is,emotional
m/hot_tub_time_machine,features the theme,the audience
m/spaceballs,features the theme,the audience
m/demolition_man,is,solid
m/terminator,is,solid
m/hot_tub_time_machine,is,able
m/spaceballs,is,able
m/demolition_man,is,special
m/hot_tub_time_machine,is,special
m/terminator,is,special
m/dumb_and_dumber,is,low
m/hot_tub_time_machine,is,low
m/spaceballs,is,low
m/terminator,is,low
m/dumb_and_dumber,is,comic
m/hot_tub_time_machine,is,comic
m/spaceballs,is,comic
m/terminator,is,comic
m/hot_tub_time_machine,features the theme,things
m/terminator,features the theme,things
m/hot_tub_time_machine,is,silly
m/spaceballs,is,silly
m/terminator,is,silly
m/hot_tub_time_machine,is,different
m/demolition_man,features the theme,people
m/hot_tub_time_machine,features the theme,people
m/hot_tub_time_machine,is,familiar
m/dumb_and_dumber,features the theme,love
m/hot_tub_time_machine,features the theme,love
m/terminator,features the theme,love
m/dumb_and_dumber,is,wrong
m/demolition_man,is,fun
m/hot_tub_time_machine,is,fun
m/dumb_and_dumber,is,entire
m/hot_tub_time_machine,is,easy
m/dumb_and_dumber,is,modern
m/terminator,is,compelling
m/demolition_man,features the theme,the characters
m/dumb_and_dumber,features the theme,the characters
m/hot_tub_time_machine,features the theme,the characters
m/hot_tub_time_machine,is,worst
m/hot_tub_time_machine,is,smart
m/terminator,is,free
m/terminator,is,dark
m/demolition_man,features the miscellaneous theme,Spanish
m/spaceballs,features the miscellaneous theme,Spanish
m/terminator,features the theme,times
m/spaceballs,is,close
m/hot_tub_time_machine,is,terrific
m/terminator,is,terrific
m/hot_tub_time_machine,is,large
m/spaceballs,is,large
m/hot_tub_time_machine,is,black
m/terminator,is,black
m/hot_tub_time_machine,is,sure
m/hot_tub_time_machine,features the theme,fun
m/terminator,is,recent
m/demolition_man,is,clever
m/hot_tub_time_machine,is,clever
m/spaceballs,is,clever
m/terminator,is,clever
m/demolition_man,is,nice
m/terminator,is,nice
m/dumb_and_dumber,features the theme,the world
m/hot_tub_time_machine,is,effective
m/terminator,is,effective
m/hot_tub_time_machine,is,simple
m/hot_tub_time_machine,is,fresh
m/spaceballs,is,fresh
m/spaceballs,is,obvious
m/demolition_man,is,successful
m/hot_tub_time_machine,is,successful
m/terminator,is,powerful
m/hot_tub_time_machine,is,decent
m/hot_tub_time_machine,is,happy
m/dumb_and_dumber,features the theme,the plot
m/hot_tub_time_machine,is,flat
m/terminator,is,excellent
m/demolition_man,is,personal
m/demolition_man,features the theme,full review in spanish
m/spaceballs,features the theme,full review in spanish
m/hot_tub_time_machine,is,exciting
m/terminator,is,exciting
m/hot_tub_time_machine,is,brilliant
m/terminator,is,brilliant
m/hot_tub_time_machine,is,heavy
m/demolition_man,is,worse
m/hot_tub_time_machine,is,worse
m/hot_tub_time_machine,is,possible
m/hot_tub_time_machine,is,sweet
m/hot_tub_time_machine,is,genuine
m/terminator,is,genuine
m/demolition_man,features the theme,humor
m/spaceballs,features the theme,humor
m/demolition_man,is,unable
m/dumb_and_dumber,is,unable
m/demolition_man,is,single
m/hot_tub_time_machine,is,wonderful
m/demolition_man,is,amusing
m/hot_tub_time_machine,is,amusing
m/hot_tub_time_machine,is,worthy
m/dumb_and_dumber,is,memorable
m/hot_tub_time_machine,is,memorable
m/terminator,is,memorable
m/demolition_man,is,late
m/dumb_and_dumber,is,alive
m/demolition_man,is,early
m/spaceballs,is,major
m/terminator,is,major
m/hot_tub_time_machine,is,certain
m/hot_tub_time_machine,features the theme,his wife
m/dumb_and_dumber,is,pure
m/spaceballs,is,pure
m/terminator,is,pure
m/demolition_man,features the theme,work
m/hot_tub_time_machine,features the theme,work
m/terminator,features the theme,work
m/spaceballs,is,usual
m/hot_tub_time_machine,is,difficult
m/demolition_man,is,social
m/dumb_and_dumber,is,social
m/hot_tub_time_machine,is,social
m/demolition_man,features the theme,characters
m/hot_tub_time_machine,is,strange
m/spaceballs,is,strange
m/demolition_man,features the theme,the police
m/dumb_and_dumber,features the theme,the police
m/terminator,features the theme,the police
m/hot_tub_time_machine,features the theme,money
m/hot_tub_time_machine,is,hilarious
m/spaceballs,is,hilarious
m/spaceballs,is,likely
m/demolition_man,is,violent
m/demolition_man,is,sharp
m/terminator,is,sharp
m/demolition_man,is,awful
m/hot_tub_time_machine,is,complete
m/hot_tub_time_machine,features the theme,fact
m/hot_tub_time_machine,is,central
m/hot_tub_time_machine,features the theme,the picture
m/spaceballs,is,like
m/spaceballs,features the theme,movies
m/hot_tub_time_machine,is,satisfying
m/hot_tub_time_machine,features the theme,the filmmakers
m/hot_tub_time_machine,is,surprising
m/dumb_and_dumber,is,uneven
m/hot_tub_time_machine,is,uneven
m/hot_tub_time_machine,is,thin
m/hot_tub_time_machine,is,disappointing
m/dumb_and_dumber,is,dumb
m/hot_tub_time_machine,is,dumb
m/dumb_and_dumber,is,stupid
m/hot_tub_time_machine,is,stupid
m/hot_tub_time_machine,is,sad
m/spaceballs,is,sad
m/demolition_man,is,cool
m/hot_tub_time_machine,is,cool
m/hot_tub_time_machine,is,older
m/hot_tub_time_machine,is,poor
m/demolition_man,is,cheap
m/terminator,is,cheap
m/terminator,features the theme,screen
m/demolition_man,is,terrible
m/hot_tub_time_machine,features the theme,sex
m/terminator,features the theme,sex
m/spaceballs,is,non
m/terminator,is,non
m/hot_tub_time_machine,is,sheer
m/terminator,is,cold
m/hot_tub_time_machine,is,actual
m/hot_tub_time_machine,is,tough
m/hot_tub_time_machine,is,ridiculous
m/terminator,is,ridiculous
m/hot_tub_time_machine,is,half
m/spaceballs,is,half
m/hot_tub_time_machine,features the theme,the cast
m/demolition_man,is,pleasant
m/hot_tub_time_machine,is,popular
m/terminator,is,popular
m/hot_tub_time_machine,is,loud
m/hot_tub_time_machine,is,tired
m/hot_tub_time_machine,is,younger
m/terminator,features the theme,action
m/demolition_man,is,intense
m/terminator,is,intense
m/hot_tub_time_machine,features the theme,comedy
m/terminator,is,moral
m/hot_tub_time_machine,is,biggest
m/terminator,is,physical
m/hot_tub_time_machine,is,huge
m/spaceballs,is,huge
m/hot_tub_time_machine,is,guilty
m/hot_tub_time_machine,is,political
m/terminator,is,ambitious
m/demolition_man,is,open
m/dumb_and_dumber,is,open
m/hot_tub_time_machine,is,open
m/terminator,features the theme,his father
m/hot_tub_time_machine,is,willing
m/demolition_man,is,sexual
m/dumb_and_dumber,is,sexual
m/hot_tub_time_machine,is,hot
m/hot_tub_time_machine,is,past
m/hot_tub_time_machine,is,wild
m/hot_tub_time_machine,is,remarkable
m/hot_tub_time_machine,features the theme,viewers
m/terminator,features the theme,viewers
m/hot_tub_time_machine,is,superior
m/terminator,is,superior
m/hot_tub_time_machine,is,minor
m/demolition_man,features the theme,the process
m/hot_tub_time_machine,is,particular
m/dumb_and_dumber,is,anti
m/hot_tub_time_machine,is,likable
m/hot_tub_time_machine,features the theme,a lot
m/hot_tub_time_machine,is,inventive
m/terminator,is,inventive
m/spaceballs,is,finest
m/spaceballs,is,similar
m/spaceballs,is,aware
m/terminator,is,aware
m/hot_tub_time_machine,is,sentimental
m/hot_tub_time_machine,features the theme,laughs
m/spaceballs,features the theme,laughs
m/hot_tub_time_machine,is,post
m/demolition_man,is,friendly
m/dumb_and_dumber,is,friendly
m/hot_tub_time_machine,is,cute
m/demolition_man,is,typical
m/hot_tub_time_machine,is,fantastic
m/terminator,is,fantastic
m/demolition_man,is,double
m/hot_tub_time_machine,is,male
m/hot_tub_time_machine,is,crazy
m/hot_tub_time_machine,features the theme,the theater
m/hot_tub_time_machine,is,shallow
m/spaceballs,features the theme,the movies
m/hot_tub_time_machine,is,believable
m/terminator,is,believable
m/hot_tub_time_machine,features the theme,women
m/hot_tub_time_machine,is,lazy
m/dumb_and_dumber,is,married
m/hot_tub_time_machine,is,married
m/spaceballs,is,married
m/hot_tub_time_machine,is,nearby
m/spaceballs,is,nearby
m/hot_tub_time_machine,is,bizarre
m/dumb_and_dumber,is,current
m/terminator,is,extraordinary
m/demolition_man,is,brutal
m/hot_tub_time_machine,features the theme,date
m/hot_tub_time_machine,is,lame
m/terminator,is,pregnant
m/dumb_and_dumber,features the theme,the money
m/terminator,is,tense
m/terminator,features the theme,reality
m/hot_tub_time_machine,is,middle
m/demolition_man,is,necessary
m/hot_tub_time_machine,is,necessary
m/demolition_man,is,fair
m/hot_tub_time_machine,is,fair
m/hot_tub_time_machine,is,drunk
m/terminator,is,absurd
m/hot_tub_time_machine,is,lead
m/dumb_and_dumber,is,minded
m/hot_tub_time_machine,is,minded
m/terminator,features the theme,suspense
m/dumb_and_dumber,features the theme,course
m/hot_tub_time_machine,features the theme,course
m/dumb_and_dumber,is,sophisticated
m/demolition_man,is,fast
m/hot_tub_time_machine,is,fast
m/demolition_man,features the theme,the city
m/dumb_and_dumber,is,total
m/hot_tub_time_machine,is,total
m/hot_tub_time_machine,is,outstanding
m/hot_tub_time_machine,is,derivative
m/demolition_man,is,pointless
m/hot_tub_time_machine,is,ugly
m/hot_tub_time_machine,features the theme,exactly what
m/spaceballs,is,giant
m/terminator,is,unknown
m/hot_tub_time_machine,features the theme,friends
m/hot_tub_time_machine,is,suspenseful
m/demolition_man,features the theme,wit
m/hot_tub_time_machine,is,funnier
m/hot_tub_time_machine,features the theme,suicide
m/dumb_and_dumber,is,endless
m/hot_tub_time_machine,is,multiple
m/hot_tub_time_machine,features the theme,charm
m/hot_tub_time_machine,features the theme,a comedy
m/terminator,is,future
m/hot_tub_time_machine,is,energetic
m/dumb_and_dumber,features the theme,energy
m/dumb_and_dumber,features the theme,the title
m/hot_tub_time_machine,features the theme,the title
m/demolition_man,features the theme,prison
